Model,Accuracy,Precision,Recall,F1,Train_s,Pred_s
Logistic Regression,0.886,0.8005427408412483,0.8104395604395604,0.8054607508532423,0.1064906120300293,0.01120615005493164
Decision Tree,0.974,0.9485791610284168,0.9629120879120879,0.9556918882072256,0.05933737754821777,0.01157522201538086
Random Forest,0.9824,0.9697802197802198,0.9697802197802198,0.9697802197802198,0.3260476589202881,0.04802250862121582
Gradient Boosting,0.9788,0.9542395693135935,0.9739010989010989,0.9639700883752549,1.3758018016815186,0.016539812088012695
k-NN,0.8944,0.7583518930957683,0.9354395604395604,0.8376383763837638,0.02970147132873535,2.8877217769622803
Neural Network,0.9868,0.9715061058344641,0.9835164835164835,0.9774744027303754,2.2822165489196777,0.01335287094116211
SVM (RBF),0.9788,0.9434954007884363,0.9862637362637363,0.964405641370047,1.1544458866119385,0.6627788543701172
